,0,1
247,মৈ,moɪ̯
248,মো,mo
249,মৌ,mou̯
250,যা,zɐ
251,যি,zɪ
252,যী,zɪ
253,যু,zu
254,যূ,zu
255,যৃ,zɾɪ
256,যে,ze
257,যৈ,zoɪ̯
258,যো,zo
259,যৌ,zou̯
260,রা,rɐ
261,রি,rɪ
262,রী,rɪ
263,রু,ru
264,রূ,ru
265,রৃ,rɾɪ
266,রে,re
267,রৈ,roɪ̯
268,রো,ro
269,রৌ,rou̯
270,লা,lɐ
271,লি,lɪ
272,লী,lɪ
273,লু,lu
274,লূ,lu
275,লৃ,lɾɪ
276,লে,le
277,লৈ,loɪ̯
278,লো,lo
279,লৌ,lou̯
280,শা,ʃɐ
281,শি,ʃɪ
282,শী,ʃɪ
283,শু,ʃu
284,শূ,ʃu
285,শৃ,ʃɾɪ
286,শে,ʃe
287,শৈ,ʃoɪ̯
288,শো,ʃo
289,শৌ,ʃou̯
290,ষা,ʃɐ
291,ষি,ʃɪ
292,ষী,ʃɪ
293,ষু,ʃu
294,ষূ,ʃu
295,ষৃ,ʃɾɪ
296,ষে,ʃe
297,ষৈ,ʃoɪ̯
298,ষো,ʃo
299,ষৌ,ʃou̯
300,সা,ʃɐ
301,সি,ʃɪ
302,সী,ʃɪ
303,সু,ʃu
304,সূ,ʃu
305,সৃ,ʃɾɪ
306,সে,ʃe
307,সৈ,ʃoɪ̯
308,সো,ʃo
309,সৌ,ʃou̯
310,হা,ɦɐ
311,হি,ɦɪ
312,হী,ɦɪ
313,হু,ɦu
314,হূ,ɦu
315,হৃ,ɦɾɪ
316,হে,ɦe
317,হৈ,ɦoɪ̯
318,হো,ɦo
319,হৌ,ɦou̯
320,ড়া,ɽɐ
321,ড়ি,ɽɪ
322,ড়ী,ɽɪ
323,ড়ু,ɽu
324,ড়ূ,ɽu
325,ড়ৃ,ɽɾɪ
326,ড়ে,ɽe
327,ড়ৈ,ɽoɪ̯
328,ড়ো,ɽo
329,ড়ৌ,ɽou̯
330,ঢ়া,ɽʱɐ
331,ঢ়ি,ɽʱɪ
332,ঢ়ী,ɽʱɪ
333,ঢ়ু,ɽʱu
334,ঢ়ূ,ɽʱu
335,ঢ়ৃ,ɽʱɾɪ
336,ঢ়ে,ɽʱe
337,ঢ়ৈ,ɽʱoɪ̯
338,ঢ়ো,ɽʱo
339,ঢ়ৌ,ɽʱou̯
340,য়া,ʲeɐ
341,য়ি,ʲeɪ
342,য়ী,ʲeɪ
343,য়ু,ʲeu
344,য়ূ,ʲeu
345,য়ৃ,ʲeɾɪ
346,য়ে,ʲee
347,য়ৈ,ʲeoɪ̯
348,য়ো,ʲeo
349,য়ৌ,ʲeou̯
